title,artist,winner,year,lyrics

[Verse 3: apl.de.ap]
I feel the weight of the world on my shoulder
As I'm gettin' older, y'all people gets colder
Most of us only care about money-makin'
Selfishness got us followin' the wrong direction
Wrong information always shown by the media
Negative images is the main criteria
Infecting the young minds faster than bacteria
Kids wanna act like what they see in the cinema
Yo, whatever happened to the values of humanity? (Yeah)
Whatever happened to the fairness and equality? (Yeah)
Instead of spreading love, we spreading animosity (Yeah)
Lack of understanding leading us away from unity
That's the reason why sometimes I'm feelin' under
That's the reason why sometimes I'm feelin' down
It's no wonder why sometimes I'm feelin' under
Gotta keep my faith alive 'til love is found
Now ask yourself
[Post-Chorus: will.i.am]
Where is the love?
Where is the love?
Where is the love?
Where is the love?

[Chorus: Justin Timberlake]
Father, father, father, help us
Send some guidance from above
'Cause people got me, got me questioning
Where is the love?

[Outro: will.i.am & Justin Timberlake]
Now sing with me, y'all (One world, one world)
We only got (One world, one world)
That's all we got (One world, one world)
And something's wrong with it (Yeah)
Something's wrong with it (Yeah)
Something's wrong with the w-world, world, yeah
We only got (One world, one world)
That's all we got (One world, one world)87Embed"
Crazy In Love,Beyoncé Featuring Jay-Z,0,2003,"Crazy in Love Lyrics[Intro: JAY-Z & Beyoncé]
Yes! (Whoo, ow!)
So crazy right now
Most incredibly
It's your girl, B
It's your boy, Young
You ready?

[Refrain: Beyoncé & JAY-Z]
Oh oh, oh oh, oh oh, oh no no (Oww!)
Oh oh, oh oh, oh oh, oh no no
Oh oh, oh oh, oh oh, oh no no
Oh oh, oh oh, oh oh, oh no no

[Interlude: JAY-Z]
Ch-yeah!
History in the making, part two!
It's so crazy right now

[Verse 1: Beyoncé]
I look and stare so deep in your eyes
I touch on you more and more every time
When you leave, I'm beggin' you not to go
Call your name two, three times in a row
Such a funny thing for me to try to explain
How I'm feelin', and my pride is the one to blame (Yeah, yeah)
'Cause I know I don't understand
Just how your love can do what no one else can
You might also like[Chorus: Beyoncé]
Got me looking so crazy right now
Your love's got me looking so crazy right now (Your love)
Got me looking so crazy right now
Your touch got me looking so crazy right now (Your touch)
Got me hoping you'll page me right now
Your kiss got me hoping you'll save me right now
Looking so crazy, your love's got me looking
Got me looking so crazy in love

[Refrain: Beyoncé]
Oh oh, oh oh, oh oh, oh no no
Oh oh, oh oh, oh oh, oh no no
Oh oh, oh oh, oh oh, oh no no
Oh oh, oh oh, oh oh, oh no no

[Verse 2: Beyoncé]
When I talk to my friends so quietly
(""Who he think he is?"") Look at what you did to me
Tennis shoes, don't even need to buy a new dress
If you ain't there, ain't nobody else to impress
It's the way that you know what I thought I knew
It's the beat that my heart skips when I'm with you
But I still don't understand
Just how your love can do what no one else can
[Chorus: Beyoncé & JAY-Z]
Got me looking so crazy right now
Your love's got me looking so crazy right now (So crazy, your love)
Got me looking so crazy right now (Your love)
Your touch got me looking so crazy right now (Oh, your touch)
Got me hoping you'll page me right now (Yeah)
Your kiss got me hoping you'll save me right now (Hey)
Looking so crazy, your love's got me looking (Ch-yeah!)
Got me looking so crazy in love (Ch-yeah!)
I'm looking so crazy, your love's got me looking (Whoo!)
Got me looking so crazy in love (I'm warmed up now, let's go)

[Verse 3: JAY-Z & Beyoncé]
Young Hov, y'all know when the flow is loco (No)
Young B and the R-O-C, uh-oh (Oh, no)
O.G. Big Homie, the one and only (No, no)
Stick bony, but the pockets is fat like Tony (No, no, no)
Soprano, the ROC handle like Van Exel
I shake phonies man you can't get next to
The genuine article, I do not sing though
I sling though, if anything, I bling yo
A star like Ringo, war like a Green Beret
You crazy? Bring your whole set (Oh)
JAY-Z in the Range, crazy and deranged
They can't figure him out, they like, ""Hey, is he insane?""
Yes sir, I'm cut from a different cloth
My texture is the best fur, chinchilla
I've been iller than chain smokers (Oh oh, oh oh, oh oh, oh no no)
How you think I got the name Hova? (Oh oh, oh oh, oh oh, oh no no)
I been realer, the game's over
Fall back, Young (Oh oh, oh oh, oh oh, oh no no)
Ever since I made the change over to platinum (Oh oh, oh oh, oh oh, oh no no)
The game's been a wrap, one
[Bridge: Beyoncé]
Got me looking, so crazy, my baby
I'm not myself lately, I'm foolish, I don't do this
I've been playing myself, baby, I don't care
'Cause your love's got the best of me
And baby, you're making a fool of me
You got me sprung and I don't care who sees
'Cause baby, you got me, you got me
You got me so crazy, baby (Hey!)

[Chorus: Beyoncé]
Got me looking so crazy right now (Your love)
Your love's got me looking so crazy right now (Looking crazy)
Got me looking so crazy right now
Your touch got me looking so crazy right now (Baby, your touch)
Got me hoping you'll page me right now (Yeah, babe)
Your kiss got me hoping you'll save me right now (Oh)
Looking so crazy, your love's got me looking (Yeah)
Got me looking so crazy in love (Whoa)
Got me looking so crazy right now
Your love's got me looking so crazy right now (Your love)
Got me looking so crazy right now
Your touch got me looking so crazy right now (Your touch)
Got me hoping you'll page me right now
Your kiss got me hoping you'll save me right now
Looking so crazy, your love's got me looking
Got me looking so crazy in love86Embed"
Here We Go Again,Ray Charles & Norah Jones,1,2004,"TranslationsTürkçeEspañolРусскийPortuguêsItalianoहिन्दीPolskiFrançaisThe Weeknd - Here We Go... Again ft. Tyler, The Creator (Nederlandse Vertaling)Here We Go... Again Lyrics[Verse 1: The Weeknd]
Strike a pose with my kinfolk
Front page of the billboards
Suit and tie and cigar smokes
Macallan shots 'til it burn throats
We still celebratin' Super Bowl
Catalog lookin' legendary
Ring froze like it's February
XO, that's a mercenary
A quarter bill on an off-year
Used to sing on lofts
But now we cruisin' on a yacht, we clear, yeah
Said you wanted your boyfriend jealous with a couple pics
And you didn't expect to fall for me once you got this dick
The city dark, city dangerous
Your girlfriend's tryna pair you with somebody more famous
But instead you ended up with someone so basic, faceless
Someone to take your pictures and frame it
And my new girl, she a movie star
My new girl, she a movie star
I loved her right, make her scream like Neve Campbell
But when I make her laugh, swear it cures my depressin' thoughts
'Cause baby girl, she a movie star
Baby girl, she a movie star
I told myself that I'd never fall
But here we go again
You might also like[Chorus: The Weeknd]
Ooh
Here we go again
Life's a dream
'Cause it's never what it seems
But you'd rather love and lost with tears
Than never love at all
So here we go again

[Verse 2: Tyler, The Creator]
Although this love is strong to me
Some things can change, go wrong with me
We don't know how it's gonna be
Forever is too long to me
We don't need the government involved because we like to touch
We don't need no damn religion tellin' us that we in love
But if we did crush down the road, spendin' lawyer fees up
Pen and pad gon' save my ass if these feelings freeze up
You gon' sign this prenup, you gon' sign this prenup
You gon' sign this prenup, you gon' sign this prenup

[Chorus: The Weeknd]
Ooh
Here we go again
Life's a dream
'Cause it's never what it seems
But you'd rather love and lost with tears
Than never love at all
So here we go again
[Outro: The Weeknd]
The number one station to free your soul (Free your soul)
Dawn 103.522Embed"
Yeah!,Usher Featuring Lil Jon & Ludacris,0,2004,"Yeah! Lyrics[Produced by Lil Jon]

[Intro: Usher & Lil Jon]
Peace up, A-Town down
Yeah, yeah! Okay, okay!
Usher (Usher, Usher, Usher, Usher)
Lil Jon
Let's go!
Yeah, yeah, yeah, yeah, yeah, yeah!
Yeah, yeah, yeah, yeah, yeah, yeah!
Let's go!

[Verse 1: Usher & Lil Jon]
I was up in the club with my homies
Tryna get a lil' V-I
Keep it down on the low-key (Low-key)
'Cause you know how it feels (Hey!)
I said the shorty, she was checkin' up on me
From the game, she was spittin' in my ear
You would think that she know me (Know me)
I decided to chill (Okay!)
Conversation got heavy (Hey!)
She had me feelin' like she's ready to blow (Watch out!)
Ohh! (Watch out)
She's sayin', ""Come get me"" (Come get me)
So I got up and followed her to the floor
She said, ""Baby, let's go""
When I told her (Let's go!), I said
You might also like[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shawty got down low, she said, ""come and get me""
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me, screamin'
Yeah (Yeah!) yeah (Yeah!) yeah, yeah!
Yeah (Yeah!) yeah (Yeah!) yeah, yeah!

[Verse 2: Usher & Lil Jon]
So she's all up in my head now, got me thinkin'
That it might be a good idea to take her with me
'Cause she's ready to leave (Ready to leave now) (Let's go!)
And I gotta keep it real now
'Cause on a one to ten, she's a certified twenty
But that just ain't me (Hey!)
'Cause I don't know if I take that chance
Just where's it gonna lead?
But what I do know is the way she dance
Make shorty alright with me
The way she get low
I'm like, yeah, just work that out for me
She asks for one more dance, and I'm like, yeah
How the hell am I supposed to leave?
(Let's go, bring the beat back!) And I say
[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shawty got down low, she said, ""come and get me""
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me, screamin'
Yeah (Yeah!) yeah (Yeah!) yeah, yeah!
Yeah (Yeah!) yeah (Yeah!) yeah, yeah!
(Hey! Hey! Luda!)

[Verse 3: Ludacris, Lil Jon & Both]
Watch out, my outfit's ridiculous
In the club, lookin' so conspicuous
And ""roar!"", these women all on the prowl
If you hold the head steady, I'ma milk the cow (Yeah!)
And forget about game, I'ma spit the truth (What?)
I won't stop 'til I get 'em in their birthday suit (Yeah!)
So gimme the rhythm and it'll be off with their clothes
Then bend over to the front, and touch your toes
I left the Jag and I took the Rolls
If they ain't cuttin', then I put 'em on foot patrol (Let's go!)
How you like me now?
When my pinky's valued over three hundred thousand
Let's drink, you the one to please (Yeah!)
Ludacris fill cups like double D's (Yeah!)
Me and Ursh' once more, and we leave some dead
We want a lady in the street, but a freak in the bed, that say
[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shawty got down low, she said, ""come and get me""
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me, screamin'
Yeah (Yeah!) yeah (Yeah!) yeah, yeah!
Yeah (Yeah!) yeah (Yeah!) yeah, yeah!

[Outro: Ludacris]
Take that and rewind it back
Lil Jon got the beat that make your booty go (Clap)
Take that, rewind it back
Ursher got the voice make your booty go (Clap)
Take that, rewind it back
Ludacris got the flow to make your booty go (Clap)
Take that, rewind it back
Lil Jon got the beat that make your booty go (Clap)44Embed"
Heaven,Los Lonely Boys,0,2004,"TranslationsNederlandsไทย / Phasa ThaiSvenskaРусскийPortuguêsDeutschDespacito (Remix) Lyrics[Letra de ""Despacito (Remix)"" ft. Justin Bieber]

[Intro: Justin Bieber]
Comin' over in my direction
So thankful for that, it's such a blessin', yeah
Turn every situation into heaven, yeah
Oh-oh, you are
My sunrise on the darkest day
Got me feelin' some kind of way
Make me wanna savor every moment slowly, slowly
You fit me tailor-made, love how you put it on
Got the only key, know how to turn it on
The way you nibble on my ear, the only words I wanna hear
Baby, take it slow so we can last long

[Verso 1: Luis Fonsi & Daddy Yankee]
¡Oh! Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (Oh, yeah)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

[Coro: Justin Bieber & Luis Fonsi, Daddy Yankee]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube
Sube, sube)
You might also like[Post-Coro: Luis Fonsi & Daddy Yankee]
Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

[Verso 2: Daddy Yankee]
Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bom, bom
Sabes que esa beba está buscando de mi bom, bom
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

[Pre-Coro: Daddy Yankee & Justin Bieber, Daddy Yankee]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!
[Coro: Justin Bieber & Luis Fonsi, Daddy Yankee]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube
Sube, sube)

[Post-Coro: Luis Fonsi & Daddy Yankee]
Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

[Puente: Luis Fonsi]
Despacito
This is how we do it down in Puerto Rico
I just wanna hear you screaming, ""¡Ay, bendito!""
I can move forever cuando esté contigo
¡Báilalo!
[Outro: Daddy Yankee, Luis Fonsi & Justin Bieber]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (Fonsi)
Y que olvides tu apellido (DY)
Despacito414Embed"
American Idiot,Green Day,0,2004,"TranslationsFrançaisAmerican Idiot Lyrics[Verse 1]
Don't wanna be an American idiot
Don't want a nation under the new media
And can you hear the sound of hysteria?
The subliminal mind-fuck America

[Chorus]
Welcome to a new kind of tension
All across the alienation
Where everything isn't meant to be okay
In television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue
[Verse 2]
Well, maybe I'm the faggot, America
I'm not a part of a redneck agenda
Now everybody, do the propaganda
And sing along to the age of paranoia

[Chorus]
Welcome to a new kind of tension
All across the alienation
Where everything isn't meant to be okay
In television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue
You might also like[Guitar Solo]
[Bridge]
Don't wanna be an American idiot
One nation controlled by the media
Information age of hysteria
It's calling out to idiot America

[Chorus]
Welcome to a new kind of tension
All across the alienation
Where everything isn't meant to be okay
In television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue139Embed"
Let's Get It Started,The Black Eyed Peas,0,2004,"Let’s Get It Started Lyrics[Intro: Fergie, apl.de.ap, Both]
Let's get it started in here
And the bass keeps runnin', runnin' and runnin', runnin'
And runnin', runnin' and runnin', runnin'
And runnin', runnin' and runnin', runnin'
And runnin', runnin, and runnin', runnin' and

[Verse 1: will.i.am; will.i.am & Fergie; will.i.am, apl.de.ap & Fergie]
In this context, there's no disrespect
So when I bust my rhyme, you break yo necks
We got five minutes for us to disconnect
From all intellect and let the rhythm effect
To lose this inhibition, follow your intuition
Free your inner soul and break away from tradition
'Cause when we be out, girlies pull they weave out
You wouldn't believe how we wow shit out
Burn it 'til it's burned out, turn it 'til it's turned out
Actin' up from north, west, east, south

[Pre-Chorus: will.i.am, will.i.am & Fergie, All]
Everybody (Yeah), everybody (Yeah)
Let's get into it (Yeah), get stupid (Come on)
Get it started (Come on), get it started (Yeah)
Get it started

[Chorus: will.i.am, apl.de.ap, Fergie]
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here, yeah
You might also like[Verse 2: Taboo, Taboo & Fergie]
Lose control of body and soul
Don't move too fast, people, just take it slow
Don't get ahead, just jump into it
Y'all hear about it, the Peas will do it
Get started, get stupid
Don't worry about it, people, we'll walk you through it
Step by step like an infant new kid
Inch by inch with the new solution
Transmit hits with no delusion
The feeling's irresistible and that's how we movin'

[Pre-Chorus: will.i.am, will.i.am & Fergie, All]
(Yo) Everybody (Yeah), everybody (Yeah)
Let's get into it (Yeah) and get stupid (Come on)
Get it started (Come on), get it started (Yeah)
Get it started

[Chorus: will.i.am, apl.de.ap, Fergie]
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here, yeah
[Post-Chorus: (apl.de.ap), will.i.am, Fergie]
(And the bass keeps runnin', runnin' and runnin', runnin')
C'mon y'all, let's get coo-koo, uh-huh, let's get, we coo-koo in here
Wild out, get coo-koo, uh-huh, let's get, we coo-koo in here
Wild out, get coo-koo, uh-huh, let's get, we coo-koo in here (Oh, oh, oh)
Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya

[Verse 3: apl.de.ap, apl.de.ap, Fergie]
Let's get ill, that's the deal
At the gate and we'll bring the bugged out drill
(Just) Lose your mind, this is the time
Y'all can't stand still, twist and bang your spine
(Just) Bob your head like me, apl.de
Up inside the club or in your Bentley
Get messy, loud and sick
Y'all mind pass normal on another head trip
(So) Come them now, do not correct it
Let's get ign'ant, let's get hectic

[Pre-Chorus: will.i.am, All]
Everybody, everybody (Yeah)
Let's get into it (Yeah), get stupid (Come on)
Get it started (Come on), get it started
Get it started

[Chorus: will.i.am, apl.de.ap, Fergie]
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here
Let's get it started (Hah)
Let's get it started in here, yeah (Whoa, whoa, whoa, whoa)
[Post-Chorus: will.i.am, Fergie, will.i.am & Fergie]
Get coo-koo, uh-huh, we coo-koo in here
Let's get coo-koo (Yeah, yeah), uh-huh, we coo-koo in here
Wild out, get coo-koo (Yeah, yeah), uh-huh, we coo-koo in here (Oh, oh, oh)
(Come on and say) Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya

[Outro: apl.de.ap]
And runnin', runnin' and runnin', runnin'
And runnin', runnin' and runnin', runnin'
And runnin', runnin' and...13Embed"
Boulevard Of Broken Dreams,Green Day,1,2005,"TranslationsItalianoFrançaisBoulevard of Broken Dreams Lyrics[Verse 1]
I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me, and I walk alone
I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk alone

[Pre-Chorus]
I walk alone, I walk alone
I walk alone, I walk a—

[Chorus]
My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes, I wish someone out there will find me
'Til then, I walk alone

[Post-Chorus]
Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah, ah-ah

[Verse 2]
I'm walkin' down the line
That divides me somewhere in my mind
On the borderline
Of the edge and where I walk alone
Read between the lines
What's fucked up, and everything's all right
Check my vital signs
To know I'm still alive, and I walk alone
You might also like[Pre-Chorus]
I walk alone, I walk alone
I walk alone, I walk a—

[Chorus]
My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes, I wish someone out there will find me
'Til then, I walk alone

[Post-Chorus]
Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah
I walk alone, I walk a—

[Guitar Solo]

[Bridge]
I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk a—

[Chorus]
My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes, I wish someone out there will find me
'Til then, I walk alone
[Instrumental Outro]164Embed"
Gold Digger,Kanye West,0,2005,"TranslationsPortuguêsGold Digger Lyrics[Produced by Kanye West and Jon Brion]
[Intro: Jamie Foxx and Kanye West]
She take my money when I'm in need
Yeah, she's a triflin' friend indeed
Oh, she's a gold digger
Way over town that digs on me
(Uh)
[Chorus: Kanye West & (Jamie Foxx)]
(She give me money) Now, I ain't sayin' she a gold digger
(When I'm in need) But she ain't messin' with no broke niggas
(She give me money) Now, I ain't sayin' she a gold digger
(When I'm in need) But she ain't messin' with no broke niggas

[Refrain: Kanye West & (Jamie Foxx)]
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head

[Verse 1: Kanye West]
Cutie the bomb, met her at a beauty salon
With a baby Louis Vuitton under her underarm
She said: ""I can tell you rock, I can tell by your charm
Far as girls, you got a flock
I can tell by your charm and your arm""
But I'm lookin' for the one, have you seen her?
My psychic told me she'll have a ass like Serena
Trina, Jennifer Lopez, four kids
And I gotta take all they bad asses to ShowBiz?
Okay, get your kids, but then they got their friends
I pulled up in the Benz, they all got up in
We all went to din' and then I had to pay
If you fuckin' with this girl, then you better be paid
You know why? It take too much to touch her
From what I heard she got a baby by Busta
My best friend said she used to fuck with Usher
I don't care what none of y'all say, I still love her
You might also like[Chorus: Kanye West & (Jamie Foxx)]
(She give me money) Now, I ain't sayin' she a gold digger, uh
(When I'm in need) But she ain't messin' with no broke niggas, uh
(She give me money) Now, I ain't sayin' she a gold digger, uh
(When I'm in need) But she ain't messin' with no broke niggas, uh

[Refrain: Kanye West & (Jamie Foxx)]
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head
[Verse 2: Kanye West]
Eighteen years, eighteen years
She got one of your kids, got you for eighteen years
I know somebody payin' child support for one of his kids
His baby mama car and crib is bigger than his
You will see him on TV any given Sunday
Win the Super Bowl and drive off in a Hyundai
She was supposed to buy your shorty Tyco with your money
She went to the doctor, got lipo with your money
She walkin' around lookin' like Michael with your money
Shoulda got that insured, Geico for your money
If you ain't no punk
Holla, ""We want prenup! We want prenup!"" (Yeah!)
It's somethin' that you need to have
‘Cause when she leave yo' ass, she gon' leave with half
Eighteen years, eighteen years
And on the eighteenth birthday, he found out it wasn't his?
[Chorus: Kanye West & (Jamie Foxx)]
(She give me money) Now, I ain't sayin' she a gold digger, uh
(When I'm in need) But she ain't messin' with no broke niggas, uh
(She give me money) Now, I ain't sayin' she a gold digger, uh
(When I'm in need) But she ain't messin' with no broke niggas, uh

[Refrain: Kanye West & (Jamie Foxx)]
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head
[Verse 3: Kanye West]
Now, I ain't sayin' you a gold digger, you got needs
You don't want a dude to smoke, but he can't buy weed
You go out to eat, he can't pay, y'all can't leave
There's dishes in the back, he gotta roll up his sleeves
But while y'all washin', watch him
He gon' make it to a Benz out of that Datsun
He got that ambition, baby, look at his eyes
This week he moppin' floors, next week it's the fries
So stick by his side
I know there's dudes ballin', and yeah, that's nice
And they gonna keep callin' and tryin', but you stay right, girl
And when he get on, he'll leave yo' ass for a white girl
[Refrain: Kanye West & (Jamie Foxx)]
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head, get down
(I gotta leave) Get down girl, go 'head

[Outro: Kanye West]
Let me hear that back155Embed"
Hollaback Girl,Gwen Stefani,0,2005,"Hollaback Girl Lyrics[Intro]
Uh-huh, this my shit
All the girls, stomp your feet like this

[Chorus]
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl

[Post-Chorus]
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit

[Verse 1]
I heard that you were talking shit
And you didn't think that I would hear it
People hear you talking like that
Getting everybody fired up
So I'm ready to attack, gonna lead the pack
Gonna get a touchdown, gonna take you out
That's right, put your pom-poms down
Getting everybody fired up
You might also like[Chorus]
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl

[Post-Chorus]
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit

[Verse 2]
So that's right, dude, meet me at the bleachers
No principals, no student-teachers
Both of us wanna be the winner
But there can only be one
So I'm gonna fight, gonna give it my all
Gonna make you fall, gonna sock it to you
That's right, I'm the last one standing
And another one bites the dust
[Chorus]
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl

[Post-Chorus]
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
[Bridge]
Let me hear you say, this shit is bananas
B-A-N-A-N-A-S
This shit is bananas
B-A-N-A-N-A-S
Again, the shit is bananas
B-A-N-A-N-A-S
This shit is bananas
B-A-N-A-N-A-S
[Chorus]
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl
A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no Hollaback Girl
I ain't no Hollaback Girl

[Post-Chorus]
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit
Ooh, this my shit, this my shit50Embed"
